event,idx,time_sec,pc1,pc2,type,k_type,db_type,image,image_exists
94,141611,141.611,-0.35594386842382286,0.05344261397521401,2,2,1,Raster_Evt094_1ch.png,True
95,147591,147.591,0.11287181098201406,0.5310527459677126,2,2,1,Raster_Evt095_1ch.png,True
96,153264,153.264,1.182051506019821,-0.6944238655414432,1,1,0,Raster_Evt096_1ch.png,True
97,153918,153.918,1.5411999548804056,2.2277199242633614,1,1,0,Raster_Evt097_1ch.png,True
98,155724,155.724,-0.4892704815674009,0.0781210909426198,2,2,1,Raster_Evt098_1ch.png,True
99,156089,156.089,-0.014008551126560203,-0.23299324605026614,2,2,1,Raster_Evt099_1ch.png,True
100,156882,156.882,-0.1302020801382048,-0.17553963313112358,2,2,1,Raster_Evt100_1ch.png,True
101,157281,157.281,-0.6529669553700775,0.6553585331360329,2,2,1,Raster_Evt101_1ch.png,True
102,157692,157.692,-0.8506542862557255,0.3647241115481934,2,2,1,Raster_Evt102_1ch.png,True
103,157942,157.942,-0.3216395565763698,-0.09765967396420831,2,2,1,Raster_Evt103_1ch.png,True
104,159701,159.701,1.8302557208042283,0.9155021258516718,1,1,0,Raster_Evt104_1ch.png,True
105,161408,161.408,0.047319518412157625,0.2700924332382397,2,2,1,Raster_Evt105_1ch.png,True
106,161727,161.727,2.216467035580737,1.1797724109919876,1,1,2,Raster_Evt106_1ch.png,True
107,161863,161.863,0.44674306258603735,0.10099130132666641,1,1,0,Raster_Evt107_1ch.png,True
108,162175,162.175,-0.19812120523082835,-0.13759490857912415,2,2,1,Raster_Evt108_1ch.png,True
109,164722,164.722,-0.15748206213325053,0.17265056885774246,2,2,1,Raster_Evt109_1ch.png,True
110,165669,165.669,-0.7546883518033438,0.20857399731658238,2,2,1,Raster_Evt110_1ch.png,True
111,166051,166.051,-0.5933959980975292,0.1529259180132492,2,2,1,Raster_Evt111_1ch.png,True
112,166265,166.265,-0.013864731517940758,0.5431075027144908,2,2,1,Raster_Evt112_1ch.png,True
113,166545,166.545,-0.14517542740288922,0.3493610379222733,2,2,1,Raster_Evt113_1ch.png,True
114,169127,169.127,-0.30777627968008126,-0.2356681564686683,2,2,1,Raster_Evt114_1ch.png,True
115,177204,177.204,0.18054699513527558,-0.8559869189497901,2,2,1,Raster_Evt115_1ch.png,True
116,177498,177.498,-0.42389599600356903,0.35479057086591026,2,2,1,Raster_Evt116_1ch.png,True
117,179175,179.175,0.4540329509705741,-0.39200801498513,1,1,1,Raster_Evt117_1ch.png,True
